Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\index\collector.py                                    | Python             |       -330 |        -96 |        -80 |       -506 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\index\package_finder.py                               | Python             |       -653 |       -250 |       -123 |     -1,026 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\index\sources.py                                      | Python             |       -155 |        -30 |        -40 |       -225 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\locations\__init__.py                                 | Python             |       -346 |        -96 |        -87 |       -529 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py                               | Python             |       -112 |        -43 |        -26 |       -181 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py                               | Python             |       -122 |        -63 |        -34 |       -219 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\locations\base.py                                     | Python             |        -45 |        -20 |        -17 |        -82 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\main.py                                               | Python             |         -4 |         -5 |         -4 |        -13 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py                                  | Python             |        -57 |        -47 |        -24 |       -128 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\_json.py                                     | Python             |        -67 |         -7 |        -11 |        -85 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\base.py                                      | Python             |       -375 |       -237 |        -77 |       -689 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py                        | Python             |         -3 |          0 |         -2 |         -5 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py                         | Python             |        -22 |        -22 |        -12 |        -56 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py                          | Python             |       -172 |        -25 |        -28 |       -225 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py                           | Python             |       -121 |        -39 |        -29 |       -189 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py                             | Python             |       -196 |        -30 |        -45 |       -271 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\__init__.py                                    | Python             |          0 |         -2 |         -1 |         -3 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\candidate.py                                   | Python             |        -25 |         -1 |         -9 |        -35 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\direct_url.py                                  | Python             |       -165 |         -7 |        -41 |       -213 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\format_control.py                              | Python             |        -64 |         -2 |        -15 |        -81 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\index.py                                       | Python             |        -16 |         -4 |         -9 |        -29 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\installation_report.py                         | Python             |        -28 |        -19 |         -7 |        -54 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\link.py                                        | Python             |       -296 |       -133 |        -79 |       -508 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\scheme.py                                      | Python             |        -16 |         -9 |         -7 |        -32 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\search_scope.py                                | Python             |        -83 |        -29 |        -22 |       -134 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py                             | Python             |        -25 |        -20 |         -7 |        -52 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\target_python.py                               | Python             |        -64 |        -30 |        -17 |       -111 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\models\wheel.py                                       | Python             |        -39 |        -42 |        -12 |        -93 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\__init__.py                                   | Python             |          0 |         -2 |         -1 |         -3 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\auth.py                                       | Python             |       -193 |        -79 |        -52 |       -324 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\cache.py                                      | Python             |        -41 |        -12 |        -17 |        -70 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\download.py                                   | Python             |       -136 |        -17 |        -34 |       -187 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py                                 | Python             |       -116 |        -65 |        -30 |       -211 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\session.py                                    | Python             |       -329 |       -109 |        -81 |       -519 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\utils.py                                      | Python             |        -38 |        -48 |        -11 |        -97 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py                                     | Python             |        -47 |         -5 |         -9 |        -61 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\__init__.py                                | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py                          | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py                     | Python             |        -88 |        -10 |        -27 |       -125 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py                          | Python             |        -22 |         -9 |         -9 |        -40 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py                 | Python             |        -24 |         -9 |         -9 |        -42 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py                   | Python             |        -52 |         -8 |        -15 |        -75 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py                             | Python             |        -27 |         -4 |         -7 |        -38 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py                    | Python             |        -36 |         -4 |         -7 |        -47 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py                      | Python             |        -80 |         -7 |        -16 |       -103 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\check.py                                   | Python             |        -92 |        -22 |        -36 |       -150 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\freeze.py                                  | Python             |       -209 |        -16 |        -30 |       -255 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py                        | Python             |          0 |         -2 |         -1 |         -3 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py                 | Python             |        -36 |         -5 |         -7 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\install\legacy.py                          | Python             |        -95 |         -8 |        -18 |       -121 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py                           | Python             |       -482 |       -142 |       -115 |       -739 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\operations\prepare.py                                 | Python             |       -467 |       -117 |        -84 |       -668 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\pyproject.py                                          | Python             |        -83 |        -66 |        -27 |       -176 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\__init__.py                                       | Python             |        -71 |         -6 |        -18 |        -95 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\constructors.py                                   | Python             |       -361 |        -76 |        -65 |       -502 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\req_file.py                                       | Python             |       -353 |       -110 |        -82 |       -545 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\req_install.py                                    | Python             |       -695 |       -150 |        -98 |       -943 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\req_set.py                                        | Python             |        -56 |         -6 |        -21 |        -83 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py                                  | Python             |       -431 |       -116 |        -94 |       -641 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py                                | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\base.py                                    | Python             |        -15 |          0 |         -6 |        -21 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py                         | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py                         | Python             |       -370 |       -165 |        -66 |       -601 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py                     | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py                         | Python             |        -85 |        -26 |        -31 |       -142 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py                   | Python             |       -404 |        -63 |        -90 |       -557 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py                      | Python             |       -574 |        -82 |        -76 |       -732 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py             | Python             |        -80 |        -56 |        -20 |       -156 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py                     | Python             |       -142 |        -79 |        -28 |       -249 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py                     | Python             |        -49 |         -1 |        -19 |        -69 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py                 | Python             |       -110 |        -14 |        -43 |       -167 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py                     | Python             |       -188 |        -72 |        -37 |       -297 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py                                | Python             |       -167 |        -28 |        -45 |       -240 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\__init__.py                                     | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\_log.py                                         | Python             |        -11 |        -18 |        -10 |        -39 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py                                      | Python             |        -25 |        -12 |        -16 |        -53 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\compat.py                                       | Python             |        -26 |        -22 |        -16 |        -64 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py                           | Python             |       -108 |        -30 |        -28 |       -166 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\datetime.py                                     | Python             |         -5 |         -2 |         -5 |        -12 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py                                  | Python             |       -131 |        -28 |        -30 |       -189 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py                           | Python             |        -70 |        -10 |         -8 |        -88 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\distutils_args.py                               | Python             |        -30 |         -7 |         -7 |        -44 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py                                     | Python             |        -38 |        -27 |        -11 |        -76 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\encoding.py                                     | Python             |        -28 |         -4 |         -5 |        -37 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py                                  | Python             |        -54 |        -18 |        -13 |        -85 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py                                   | Python             |        -93 |        -32 |        -29 |       -154 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py                                    | Python             |        -19 |         -3 |         -6 |        -28 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\glibc.py                                        | Python             |        -37 |        -38 |        -14 |        -89 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\hashes.py                                       | Python             |        -76 |        -40 |        -29 |       -145 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\inject_securetransport.py                       | Python             |        -16 |        -10 |        -10 |        -36 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\logging.py                                      | Python             |       -246 |        -51 |        -52 |       -349 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\misc.py                                         | Python             |       -433 |       -159 |       -132 |       -724 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\models.py                                       | Python             |        -23 |         -3 |        -14 |        -40 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\packaging.py                                    | Python             |        -21 |        -26 |        -11 |        -58 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py                             | Python             |       -114 |        -53 |        -29 |       -196 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py                                   | Python             |       -171 |        -66 |        -24 |       -261 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py                                     | Python             |       -131 |        -71 |        -45 |       -247 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py                                    | Python             |       -187 |        -42 |        -29 |       -258 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\urls.py                                         | Python             |        -38 |        -12 |        -13 |        -63 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py                                   | Python             |        -50 |        -36 |        -19 |       -105 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\utils\wheel.py                                        | Python             |        -70 |        -36 |        -31 |       -137 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\__init__.py                                       | Python             |        -11 |         -4 |         -1 |        -16 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py                                         | Python             |        -93 |         -4 |        -16 |       -113 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\git.py                                            | Python             |       -138 |       -372 |        -17 |       -527 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py                                      | Python             |       -134 |        -13 |        -17 |       -164 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py                                     | Python             |       -209 |        -74 |        -42 |       -325 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py                                 | Python             |       -392 |       -224 |        -90 |       -706 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_internal\wheel_builder.py                                      | Python             |       -288 |        -49 |        -46 |       -383 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\__init__.py                                             | Python             |        -78 |        -33 |        -10 |       -121 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py                                | Python             |         -8 |         -7 |         -4 |        -19 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py                                    | Python             |        -35 |         -7 |        -20 |        -62 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py                                 | Python             |        -83 |        -30 |        -25 |       -138 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py                                   | Python             |        -28 |        -21 |        -17 |        -66 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py                         | Python             |         -3 |         -3 |         -4 |        -10 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py                       | Python             |       -106 |        -45 |        -38 |       -189 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py                      | Python             |        -23 |         -6 |        -11 |        -40 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\compat.py                                  | Python             |        -20 |         -6 |         -7 |        -33 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py                              | Python             |       -273 |        -93 |        -74 |       -440 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py                             | Python             |        -47 |        -46 |        -19 |       -112 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py                              | Python             |        -69 |        -35 |        -36 |       -140 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py                               | Python             |       -108 |        -45 |        -38 |       -191 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py                                 | Python             |        -25 |         -3 |         -6 |        -34 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\certifi\__init__.py                                     | Python             |         -3 |          0 |         -2 |         -5 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\certifi\__main__.py                                     | Python             |         -9 |          0 |         -4 |        -13 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\certifi\core.py                                         | Python             |        -46 |        -43 |        -20 |       -109 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\__init__.py                                     | Python             |        -50 |        -34 |        -10 |        -94 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\big5freq.py                                     | Python             |       -340 |        -43 |         -4 |       -387 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\big5prober.py                                   | Python             |        -16 |        -26 |         -6 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\chardistribution.py                             | Python             |       -154 |        -73 |        -33 |       -260 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\charsetgroupprober.py                           | Python             |        -75 |        -26 |         -9 |       -110 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\charsetprober.py                                | Python             |        -57 |        -59 |        -23 |       -139 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\cli\__init__.py                                 | Python             |          0 |          0 |         -1 |         -1 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\cli\chardetect.py                               | Python             |        -45 |        -31 |        -11 |        -87 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\codingstatemachine.py                           | Python             |        -28 |        -50 |        -11 |        -89 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\cp949prober.py                                  | Python             |        -16 |        -28 |         -6 |        -50 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\enums.py                                        | Python             |        -35 |        -28 |        -20 |        -83 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\escprober.py                                    | Python             |        -61 |        -31 |        -11 |       -103 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\escsm.py                                        | Python             |       -209 |        -34 |        -18 |       -261 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\eucjpprober.py                                  | Python             |        -57 |        -27 |        -12 |        -96 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\euckrfreq.py                                    | Python             |       -151 |        -40 |         -6 |       -197 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\euckrprober.py                                  | Python             |        -16 |        -26 |         -6 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\euctwfreq.py                                    | Python             |       -340 |        -43 |         -6 |       -389 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\euctwprober.py                                  | Python             |        -16 |        -26 |         -6 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\gb2312freq.py                                   | Python             |       -239 |        -40 |         -6 |       -285 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\gb2312prober.py                                 | Python             |        -16 |        -26 |         -6 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\hebrewprober.py                                 | Python             |        -92 |       -186 |        -25 |       -303 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\jisfreq.py                                      | Python             |       -277 |        -43 |         -6 |       -326 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\johabfreq.py                                    | Python             |     -2,352 |        -28 |         -3 |     -2,383 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\johabprober.py                                  | Python             |        -16 |        -26 |         -6 |        -48 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\jpcntx.py                                       | Python             |       -170 |        -46 |        -22 |       -238 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langbulgarianmodel.py                           | Python             |     -4,632 |        -10 |         -8 |     -4,650 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langgreekmodel.py                               | Python             |     -4,380 |        -10 |         -8 |     -4,398 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langhebrewmodel.py                              | Python             |     -4,365 |        -10 |         -6 |     -4,381 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langhungarianmodel.py                           | Python             |     -4,632 |        -10 |         -8 |     -4,650 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langrussianmodel.py                             | Python             |     -5,700 |        -10 |        -16 |     -5,726 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langthaimodel.py                                | Python             |     -4,365 |        -10 |         -6 |     -4,381 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\langturkishmodel.py                             | Python             |     -4,365 |        -10 |         -6 |     -4,381 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\latin1prober.py                                 | Python             |        -95 |        -36 |        -15 |       -146 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\mbcharsetprober.py                              | Python             |        -52 |        -31 |        -13 |        -96 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\mbcsgroupprober.py                              | Python             |        -25 |        -28 |         -4 |        -57 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\mbcssm.py                                       | Python             |       -546 |        -68 |        -47 |       -661 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\chardet\metadata\__init__.py                            | Python             |          0 |          0 |         -1 |         -1 |
