Date : 2025-10-10 10:25:05
Directory : d:\EcoTrack-Waste-Management-System-main\client
Total : 765 files,  -159545 codes, -66630 comments, -26503 blanks, all -252678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\regexopt.py                                    | Python             |        -52 |        -31 |         -9 |        -92 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\scanner.py                                     | Python             |        -44 |        -49 |        -12 |       -105 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\sphinxext.py                                   | Python             |       -112 |        -14 |        -30 |       -156 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\style.py                                       | Python             |       -146 |        -26 |        -26 |       -198 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\styles\__init__.py                             | Python             |        -76 |        -13 |         -9 |        -98 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\token.py                                       | Python             |       -141 |        -41 |        -32 |       -214 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\unistring.py                                   | Python             |        -85 |        -18 |        -51 |       -154 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pygments\util.py                                        | Python             |       -186 |        -92 |        -31 |       -309 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\__init__.py                                   | Python             |       -292 |        -25 |        -15 |       -332 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\actions.py                                    | Python             |        -52 |       -129 |        -27 |       -208 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\common.py                                     | Python             |       -153 |       -236 |        -36 |       -425 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\core.py                                       | Python             |     -1,556 |     -3,855 |       -404 |     -5,815 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\diagram\__init__.py                           | Python             |       -410 |       -151 |        -82 |       -643 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\exceptions.py                                 | Python             |       -120 |       -108 |        -40 |       -268 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\helpers.py                                    | Python             |       -511 |       -483 |        -95 |     -1,089 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\results.py                                    | Python             |       -313 |       -383 |        -65 |       -761 |
| d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\pip\_vendor\pyparsing\testing.py                                    | Python             |       -222 |        -75 |        -35 |       -332 |
