"filename", "language", "pip requirements", "Python", "Properties", "XML", "Batch", "PowerShell", "comment", "blank", "total"
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\develop.py", "Python", 0, 131, 0, 0, 0, 0, 30, 33, 194
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\dist_info.py", "Python", 0, 95, 0, 0, 0, 0, 25, 23, 143
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\easy_install.py", "Python", 0, 1559, 0, 0, 0, 0, 478, 276, 2313
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\editable_wheel.py", "Python", 0, 424, 0, 0, 0, 0, 354, 67, 845
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\egg_info.py", "Python", 0, 499, 0, 0, 0, 0, 143, 122, 764
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\install.py", "Python", 0, 92, 0, 0, 0, 0, 21, 27, 140
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\install_egg_info.py", "Python", 0, 47, 0, 0, 0, 0, 5, 12, 64
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\install_lib.py", "Python", 0, 72, 0, 0, 0, 0, 27, 24, 123
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\install_scripts.py", "Python", 0, 54, 0, 0, 0, 0, 6, 11, 71
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\launcher manifest.xml", "XML", 0, 0, 0, 14, 0, 0, 1, 1, 16
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\py36compat.py", "Python", 0, 79, 0, 0, 0, 0, 39, 17, 135
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\register.py", "Python", 0, 11, 0, 0, 0, 0, 1, 7, 19
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\rotate.py", "Python", 0, 53, 0, 0, 0, 0, 1, 11, 65
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\saveopts.py", "Python", 0, 13, 0, 0, 0, 0, 1, 9, 23
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\sdist.py", "Python", 0, 140, 0, 0, 0, 0, 35, 36, 211
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\setopt.py", "Python", 0, 115, 0, 0, 0, 0, 13, 22, 150
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\test.py", "Python", 0, 186, 0, 0, 0, 0, 27, 39, 252
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\upload.py", "Python", 0, 11, 0, 0, 0, 0, 1, 6, 18
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\command\upload_docs.py", "Python", 0, 171, 0, 0, 0, 0, 17, 26, 214
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\__init__.py", "Python", 0, 17, 0, 0, 0, 0, 13, 6, 36
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_apply_pyprojecttoml.py", "Python", 0, 256, 0, 0, 0, 0, 39, 83, 378
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\__init__.py", "Python", 0, 25, 0, 0, 0, 0, 3, 7, 35
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\error_reporting.py", "Python", 0, 242, 0, 0, 0, 0, 26, 51, 319
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\extra_validations.py", "Python", 0, 16, 0, 0, 0, 0, 9, 12, 37
"d:\EcoTrack-Waste-Management-System-main\python-server\.venv\Lib\site-packages\setuptools\config\_validate_pyproject\fastjsonschema_exceptions.py", "Python", 0, 20, 0, 0, 0, 0, 20, 12, 52
