Date : 2025-10-09 23:27:19
Directory : d:\EcoTrack-Waste-Management-System-main\server
Total : 71 files,  -8402 codes, -151 comments, -755 blanks, all -9308 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\EcoTrack-Waste-Management-System-main\server\index.js                                     | JavaScript         |         60 |          8 |         13 |         81 |
| d:\EcoTrack-Waste-Management-System-main\server\middleware\auth.js                           | JavaScript         |        101 |          0 |         14 |        115 |
| d:\EcoTrack-Waste-Management-System-main\server\models\settingsModel.js                      | JavaScript         |        111 |          0 |          3 |        114 |
| d:\EcoTrack-Waste-Management-System-main\server\models\userModel.js                          | JavaScript         |         56 |          0 |          8 |         64 |
| d:\EcoTrack-Waste-Management-System-main\server\models\userReportModel.js                    | JavaScript         |         59 |          0 |          3 |         62 |
| d:\EcoTrack-Waste-Management-System-main\server\models\wasteBinModel.js                      | JavaScript         |         59 |          0 |          6 |         65 |
| d:\EcoTrack-Waste-Management-System-main\server\package-lock.json                            | JSON               |      1,858 |          0 |          1 |      1,859 |
| d:\EcoTrack-Waste-Management-System-main\server\package.json                                 | JSON               |         25 |          0 |          1 |         26 |
| d:\EcoTrack-Waste-Management-System-main\server\routes\adminRoute.js                         | JavaScript         |         25 |          5 |          8 |         38 |
| d:\EcoTrack-Waste-Management-System-main\server\routes\settingsRoute.js                      | JavaScript         |         13 |          1 |          5 |         19 |
| d:\EcoTrack-Waste-Management-System-main\server\routes\userReportRoute.js                    | JavaScript         |         25 |          0 |          5 |         30 |
| d:\EcoTrack-Waste-Management-System-main\server\routes\userRoute.js                          | JavaScript         |          6 |          4 |          3 |         13 |
| d:\EcoTrack-Waste-Management-System-main\server\routes\wasteBinRoute.js                      | JavaScript         |         24 |          3 |          9 |         36 |
| d:\EcoTrack-Waste-Management-System-main\server\scripts\optimizeDatabase.js                  | JavaScript         |         37 |          3 |          8 |         48 |
| d:\EcoTrack-Waste-Management-System-main\server\socket\socketIndex.js                        | JavaScript         |          0 |          0 |          1 |          1 |
| d:\EcoTrack-Waste-Management-System-main\server\vite.config.js                               | JavaScript         |          5 |          1 |          2 |          8 |
| Total                                                                                        |                    |     -8,402 |       -151 |       -755 |     -9,308 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
